11.06113,43.64583,5007051,SP montespertoli 2,50,
11.06809,43.70317,5007051,SP8 fornace,50,
11.06928,43.69205,5007051,SP8 mela,50,
11.07473,43.64525,5007051,SP montespertoli 1,50,
11.08188,43.66485,5007051,SP8 baccaiano,50,
11.08638,43.72434,9007013,Fipili 2,90,
11.09360,43.70165,5007041,SP1 s.vincenzo a torri2,50,
11.09860,43.69924,5007041,SP1 s.vincenzo a torri1,50,
11.10444,43.67261,5007051,SP montagnana,50,
11.12716,43.65143,5007092,SP8 S.Quirico,50,
11.15073,43.67690,5007041,SP1 croce di via1,50,
11.15417,43.67361,5007041,SP1 croce di via2,50,
11.16616,43.69201,5007041,SP mulino di sugana,50,
11.17627,43.63635,5007103,calzaiolo san casciano v.p.,50,
11.18125,43.65085,5007091,SP 9 s.casciano,50,
11.18874,43.71021,5007041,SP chiesanuova,50,
11.19131,43.65508,5007050,SP9 san casciano,50,
11.19301,43.67729,3007050,spedaletto,30,
11.20864,43.66507,9008082,Direz FI,90,
11.20942,43.70807,5007042,SS tavarnuzze1,50,
11.21548,43.67556,5007050,SP falciani,50,
11.21970,43.69573,5007042,SP6 cantagallo,50,
11.22131,43.71466,5007042,SS tavarnuzze2,50,
11.23455,43.69179,5007042,SP6 bagnolo,50,
11.23474,43.72161,8007032,A dir nord,80,
11.24556,43.72335,5007050,SP7 pozzolatico,50,
11.25146,43.65873,5007050,SP ferrone1,50,
11.25876,43.65295,5007050,SP ferrone2,50,
11.25969,43.68382,5007042,SP6 impruneta,50,
11.29255,43.66768,5007042,SS22 petigliolo,50,
11.29329,43.72659,4007041,SS22 grassina1,40,
11.29529,43.72250,4007041,SS22 grassina2,40,
11.29601,43.68535,4007042,SS22 solaia,40,
11.31412,43.63708,5007062,SS22 chiocchio,50,
11.32578,43.72857,5007040,via Peruzzi,50,
11.33158,43.72977,13007032,A1/E3 chianti,130,
11.34707,43.72917,5007041,SP osteria nuova,50,
11.36063,43.67085,4008072,San Polo,40,
11.37506,43.72509,11007032,A dir nord,110,
11.39655,43.71532,5007041,SP troghi,50,
11.40266,43.70000,13007032,A1/E35,130,
11.41457,43.72873,5007040,SP8 Le Corti,50,
11.43382,43.63868,5009040,Entrambe le direzioni,50,
11.44575,43.67870,5007041,SP burchio,50,
11.45106,43.71534,5009012,Rignano,50,
11.45196,43.64415,5,Autobox Fisso - Vigili U.,50,
11.45274,43.63825,5009040,Autobox Fisso,50,
7.69262,43.79272,6009061,Traffipax Fisso,60,
7.73425,43.79650,5009061,Bidirezionale,50,
7.91327,43.84109,6009061,Traffipax Fisso,60,
8.06629,43.89088,5,Traffipax Fisso - Vigili U.,50,
10.53242,43.82796,13007013,A11/E76,130,
10.67846,43.81796,13007013,A11/E76,130,
10.68865,43.90391,5,Pescia via mazzini,50,
10.70410,43.85666,7007081,SP1 dir Pescia,70,
10.74444,43.79972,6007031,Querce,60,
10.75709,43.75716,5008010,SP 1 le vedute,50,
10.78070,43.78828,5007031,Cinelli,50,
10.81979,43.74739,7007041,SS43 le botteghe,70,
10.82299,43.88999,10007013,Fisso A11,100,
10.82426,43.76135,7007042,SS43 traffipax,70,
10.82761,43.89879,13007020,A11/E76,130,
10.83592,43.79208,5007041,SS43 stabbia,50,
10.84493,43.90799,7007051,SS43 dir montecatini,70,
10.84533,43.90783,7007051,SS43 -dir pistoia,70,
10.86371,43.82759,5007041,SP1 san rocco,50,
10.91097,43.73227,7008061,autovelox,70,
11.02727,43.73701,5007041,SS6 bidirezionale,50,
10.93449,43.74209,5009050,Bidirezionale,50,
10.88755,43.74874,5007042,SP3 cerreto guidi,50,
10.94296,43.75350,5007042,SP4 dir empoli,50,
10.90705,43.75667,7009033,bidirezionale,70,
11.05948,43.76099,5007041,SS6 brucianesi,50,
10.91730,43.76626,7008100,Autovelox Fisso,70,
11.08599,43.77821,5007042,signa1,50,
10.87146,43.78852,7008010,Traffipax La Stella,70,
11.02810,43.80548,5007050,SP4 Serra,50,
11.09074,43.80920,5007042,SS6 via vingone,50,
11.07282,43.81237,5007042,SS6 sant'angelo,50,
11.06684,43.83801,5007030,Via Roma,50,
11.02336,43.83817,5007042,SS6 via statale,50,
11.07422,43.87683,7007032,Viale Da Vinci1,70,
11.05904,43.87974,7007050,viale da vinci2,70,
11.06936,43.88842,7007050,PO viale dihn,70,
10.99520,43.89501,13007032,A1 dir Mare,130,
10.92687,43.91298,13007032,A1 dir Mare,130,
11.18192,43.74739,5007041,via roma scandicci,50,
11.12190,43.74830,9007032,Fipili 12,90,
11.15106,43.76671,5007070,Via Pisana,50,
11.16638,43.76685,8009030,Autobox Fisso,80,
11.19981,43.77260,5007041,viale etruria,50,
11.21020,43.77288,5009062,Direz Superstrada,50,
