9.40058,40.01440,[VM] SS389 Sotto il cavalcavia ambo dir di marcia,-1,
9.64909,39.90236,[50] Auto Istituto Mobile Polstrada,50,
9.66110,39.94607,[50] Treppiede Mobile Vigili U.,50,
9.68908,39.93080,[50] Auto Civile Mobile Altri Enti,50,
8.38145,40.64515,[50] Auto Civile Mobile - Vigili U.,50,
8.38188,40.64724,[50] Auto Civile Mobile - Vigili U.,50,
8.64081,40.67948,[90] SS131 Sotto cavalcavia ambo direzioni,90,
8.62987,40.68674,[VM] SS131 Sotto il cavalcavia ambo dir,-1,
8.39618,40.69561,[80] Treppiede PS,80,
8.61573,40.69757,[90] SS131 Piazzola sulla destra in Dir CA,90,
8.60857,40.70095,[VM] SS131 Piazzola sulla destra in Dir CA,-1,
8.55436,40.70293,[80] Treppiede PS,80,
8.55202,40.70927,[50] Telelaser Mobile - Vigili U.,50,
8.58232,40.71121,[50] Telelaser Mobile - Vigili U.,50,
8.55938,40.71171,[50] Telelaser Mobile - Vigili U.,50,
8.54681,40.72199,[50] Telelaser Mobile - Vigili U.,50,
8.54218,40.73104,[50] Telelaser Mobile VVUU,50,
8.57625,40.73132,[50] Telelaser Mobile - Vigili U.,50,
8.56831,40.73838,[50] Telelaser Mobile - Vigili U.,50,
8.55054,40.74857,[50] Telelaser Mobile - Vigili U.,50,
8.52528,40.74877,[50] Telelaser Mobile - Vigili U.,50,
8.51996,40.75067,[50] Telelaser Mobile VVUU,50,
8.51321,40.75203,[50] Telelaser Mobile - Vigili U.,50,
8.51068,40.75413,[VM] Piazzola sulla destra in Dir Porto Torres,-1,
8.46662,40.78696,[VM] SS131 Nel piazzale sulla destra Dir Sassari,-1,
8.45617,40.79531,[VM] SS131 Dir SS nella corsia di accelerazione,
8.51046,40.81871,[50] Telelaser Mobile - Vigili U.,50,
9.05023,40.24192,[80] SS131dcn prima Ottana Dir Cagliari,80,
8.90085,40.28282,[VM] SS129 Sotto il cavalcavia ambo dir,
8.96891,40.30318,[VM] SS129 Sotto il cavalcavia ambo dir,
9.19433,40.30691,[810] Treppiede PS,80,
9.21632,40.31269,[80] SS131 Grande spiazzo,80,
9.13082,40.32286,[VM] SS129 Piazzole ambo dir Dir Macomer e Nuoro,
9.03565,40.32619,[VM] SS129 Piazzola a destra dopo il ponte in Dir NU,
9.30951,40.34009,[90] Telelaser Mobile - Vigili U.,90,
9.32533,40.34572,[90] Treppiede Mobile - Vigili U.,90,
9.48762,40.40042,[80] Treppiede PS,80,
8.74987,40.40718,[VM] SS131 Sul bivio Corsia di accelerazione Dir CA,
9.59844,40.48455,[80] Treppiede PS,80,
9.64225,40.53086,[90] Treppiede PS,90,
8.78310,40.54074,[80] Telelaser Mobile PS,80,
9.66471,40.54375,[80] Treppiede PS,80,
8.77945,40.54642,[VM] postazione mobile,
8.82633,40.63290,[50] autovelox,50,
8.71463,40.66053,[70] Pattuglia PS in curva,70,
8.67232,40.67126,[90] Treppiede VVUU,90,
9.67630,40.71661,[80] Auto Civile Mobile - Vigili U.,80,
8.93429,40.84810,[90] Treppiede Mobile Carabinieri,90,
9.48529,40.89223,[50] Treppiede Mobile - Polstrada,50,
9.14530,40.90608,[50] Treppiede Mobile Polstrada,50,
9.35406,41.17118,[50] Treppiede PS,50,
9.69114,40.58554,[80] Telelaser Mobile PS,80,
11.55735,42.37643,[VM] Polizia E80 all'altezza centrale Montalto verso Gr,
11.54133,42.38993,[90] E80 SS1,90,
11.52414,42.39551,[70] autovelox,70,
11.50706,42.39981,[VM] con auto della polizia nascosta,
11.49843,42.40267,[90] Dopo il ponte Dir Roma,90,
11.47978,42.40845,[90] Auto Civile Mobile Altri Enti,90,
11.33041,42.41434,[70] SSAurelia,70,
11.38938,42.41458,[VM] Nascosto da siepe,
11.34053,42.41513,[70] E80 SS1 dir grosseto,70,
11.28843,42.42330,[90] Treppiede PS,90,
11.16510,42.42961,[50] SS440 in ambo le direzioni,50,
11.18727,42.43003,[70] SS440 Dir Orbetello,70,
11.27871,42.43700,[90] Treppiede Mobile Polstrada,90,
11.26609,42.44057,[90] PS Dir Roma,90,
11.17599,42.44691,[50] SPGiannella Dir Aurelia,50,
11.25545,42.45008,[VM] Aurelia Obetello dopo l'uscita di Orbetello Mobile,
11.23287,42.47505,[90] Treppiede Pol.Prov.,90,
11.24201,42.50273,[50] Treppiede VVUU,50,
11.28559,42.52244,[VM] autovelox,
11.29390,42.52491,[70] Treppiede Mobile - Altri Enti,70,
11.18916,42.52666,[90] Verso Nord nella piazzola di sosta,90,
11.18529,42.53327,[70] Telelaser Mobile Pol.Prov.,70,
11.17172,42.55529,[70] Auto Istituto Mobile - Vigili U.,70,
10.97976,42.73873,[50] SP80 del Cristo,50,
10.98388,42.72917,[50] GROSSETO SS322 V.COSTIERA,50,
10.98753,42.72753,[50] Treppiede Mobile - Pol.Prov.,50,
11.00881,42.71384,[50] Auto Civile Mobile Pol.Prov.,50,
11.05560,42.73791,[50] SP158 delle Collacchie loc Principina,50,
11.06916,42.74388,[50] SS322 Presso Mago di OZ,50,
11.07714,42.74626,[50] Auto Civile Mobile Altri Enti,50,
11.09568,42.74993,[50] Auto Civile Mobile - Pol.Prov.,50,
11.09836,42.74993,[VM] Auto civetta pol.municipale dietro siepe Dir Marina,
11.13505,42.63856,[70] Treppiede Mobile - Vigili U.,70,
