14.100920,42.548260,Sicve INIZIO, A14 Dir Nord Tratto1,17
13.989600,42.633810,Sicve INIZIO, A14 Dir Nord Tratto1,18
13.920070,42.697480,Sicve INIZIO, A14 Dir Nord Tratto1,19
13.934210,42.749940,Sicve INIZIO, A14 Dir Nord Tratto1,20
9.347190,45.335570,Sicve INIZIO, A1 Dir Sud Tratto1,1
9.433660,45.284730,Sicve INIZIO, A1 Dir Sud Tratto1,2
9.565370,45.188880,Sicve INIZIO, A1 Dir Sud Tratto1,3
9.678360,45.116430,Sicve INIZIO, A1 Dir Sud Tratto1,4
9.728460,45.071460,Sicve INIZIO, A1 Dir Sud Tratto1,5
9.774760,45.024460,Sicve INIZIO, A1 Dir Sud Tratto1,6
9.883450,44.971870,Sicve INIZIO, A1 Dir Sud Tratto1,7
10.077160,44.891040,Sicve INIZIO, A1 Dir Sud Tratto1,8
10.204490,44.870630,Sicve INIZIO, A1 Dir Sud Tratto1,9
10.251680,44.860680,Sicve INIZIO, A1 Dir Sud Tratto1,10
10.320860,44.844140,Sicve INIZIO, A1 Dir Sud Tratto1,11
10.469230,44.791770,Sicve INIZIO, A1 Dir Sud Tratto1,12
10.616680,44.731940,Sicve INIZIO, A1 Dir Sud Tratto1,13
10.867530,44.646180,Sicve INIZIO, A1 Dir Sud Tratto2,1
10.962460,44.585170,Sicve INIZIO, A1 Dir Sud Tratto2,2
12.396630,42.458350,Sicve INIZIO, A1 Dir Sud Tratto3,1
12.508570,42.286390,Sicve INIZIO, A1 Dir Sud Tratto3,2
12.603200,42.189520,Sicve INIZIO, A1 Dir Sud Tratto3,3
12.619400,42.111980,Sicve INIZIO, A1 Dir Sud Tratto3,4
12.725600,41.939210,Sicve INIZIO, A1 Dir Sud Tratto3,5
12.750270,41.908180,Sicve INIZIO, A1 Dir Sud Tratto3,6
12.805450,41.822760,Sicve INIZIO, A1 Dir Sud Tratto3,7
12.843900,41.790170,Sicve INIZIO, A1 Dir Sud Tratto3,8
12.949000,41.760680,Sicve INIZIO, A1 Dir Sud Tratto3,9
13.102650,41.728200,Sicve INIZIO, A1 Dir Sud Tratto3,10
13.291970,41.626630,Sicve INIZIO, A1 Dir Sud Tratto3,11
13.475360,41.546770,Sicve INIZIO, A1 Dir Sud Tratto3,12
